frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
61,4378,[924.7481689453125 653.493408203125 1148.0697021484375 835.9827270507812],[1001.9254760742188 771.8770751953125 1075.253662109375 791.745361328125],0.1590362787246704,B90GSK,0.7953593112827217
62,4378,[925.2605590820312 653.3394165039062 1147.489990234375 832.9661865234375],[1002.617919921875 772.2550048828125 1074.9312744140625 790.46533203125],0.14283670485019684,B906SKI,0.5668991335801358
63,4378,[926.0211791992188 653.104248046875 1148.5711669921875 832.6303100585938],[1002.2224731445312 775.06640625 1074.1531982421875 790.8579711914062],0.12141172587871552,B906SKI,0.7761511612203547
64,4378,[927.3353271484375 653.0745849609375 1148.0916748046875 831.7710571289062],[999.81494140625 766.0150146484375 1071.870361328125 789.9805297851562],0.22118021547794342,B900GSK,0.636068876496535
65,4378,[929.0370483398438 651.0071411132812 1148.2816162109375 829.1550903320312],[1004.7749633789062 764.2490844726562 1071.30224609375 787.9260864257812],0.12229295819997787,B900GSK,0.3926757218638426
67,4378,[933.7199096679688 649.9011840820312 1149.5439453125 824.5004272460938],[1005.473876953125 763.8248291015625 1078.2166748046875 788.4677124023438],0.6508913040161133,B906SKI,0.7655780749991006
68,4378,[937.2501220703125 648.7103271484375 1149.8594970703125 820.3154907226562],[1008.5494384765625 762.3857421875 1080.0596923828125 786.29833984375],0.6038691997528076,B900GSK,0.8875371907337027
69,4378,[938.3568115234375 647.39794921875 1148.874267578125 819.2274780273438],[1006.6102294921875 760.718994140625 1077.984619140625 781.6397705078125],0.6728159785270691,B90GSK,0.5613197517776694
70,4378,[940.7822875976562 646.665771484375 1148.9708251953125 818.7507934570312],[1009.4767456054688 759.736328125 1077.8646240234375 779.3296508789062],0.7273366451263428,B90GSK,0.8825745714854412
71,4378,[942.1011962890625 646.6828002929688 1149.664794921875 817.450927734375],[1009.345458984375 758.9983520507812 1078.19775390625 776.50732421875],0.7145683765411377,B90GSK,0.9201558128086953
72,4378,[942.6522827148438 646.390380859375 1149.341552734375 816.51416015625],[1009.9954833984375 757.4893798828125 1077.8028564453125 775.4998168945312],0.6362016797065735,B900GSK,0.7966578440557526
73,4378,[943.9575805664062 647.41943359375 1149.0611572265625 814.5050048828125],[1009.163330078125 757.2138671875 1074.7991943359375 772.5888671875],0.6208672523498535,B900GSK,0.8459648860795577
74,4378,[944.1394653320312 644.6100463867188 1149.10498046875 812.1783447265625],[1009.798583984375 756.6541748046875 1077.030029296875 772.7686767578125],0.6697372794151306,B900GSK,0.5023694481394356
