frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,4,[2325.324951171875 1163.912353515625 2932.843017578125 1740.7047119140625],[2543.252685546875 1567.1744384765625 2714.526123046875 1630.468994140625],0.3047793507575989,NU51VSU,0.09624456045034852
0,2,[882.5765380859375 1365.867431640625 1560.6875 1987.9681396484375],[1086.055419921875 1786.7581787109375 1327.8851318359375 1862.4754638671875],0.14167717099189758,NA13NRU,0.8935948958857043
1,4,[2325.284423828125 1163.9239501953125 2932.864013671875 1740.680908203125],[2543.22900390625 1567.1898193359375 2714.49462890625 1630.4285888671875],0.30457672476768494,LV51TSU,0.2940577197130624
1,2,[882.5791015625 1365.8433837890625 1560.72021484375 1987.9617919921875],[1085.9730224609375 1786.7554931640625 1327.8828125 1862.510986328125],0.1415194571018219,NA13NRU,0.8478568889541134
2,2,[877.8671264648438 1376.473876953125 1565.9013671875 2005.7899169921875],[1083.0728759765625 1796.786376953125 1322.3221435546875 1871.665283203125],0.25167229771614075,NA13NRU,0.7857801936188908
2,4,[2327.317626953125 1166.8663330078125 2933.378662109375 1750.28857421875],[2533.82568359375 1570.2178955078125 2721.2685546875 1649.94140625],0.23297780752182007,LI51YSU,0.11087016335184353
3,2,[872.2738647460938 1388.7738037109375 1556.6905517578125 2017.660400390625],[1073.2711181640625 1805.712158203125 1320.8023681640625 1876.9820556640625],0.24086612462997437,NA13NRU,0.8501974005317268
3,4,[2328.76123046875 1174.8802490234375 2927.385986328125 1757.655517578125],[2536.29833984375 1577.051025390625 2720.6826171875 1652.1142578125],0.2109612673521042,HU51VSU,0.28840425684591825
4,4,[2328.52685546875 1182.3541259765625 2928.141357421875 1763.1859130859375],[2536.114501953125 1587.5135498046875 2715.90625 1653.4449462890625],0.3209458887577057,HU51VSU,0.406208698131589
4,2,[868.2030639648438 1392.9437255859375 1555.364990234375 2022.4207763671875],[1072.345947265625 1808.611328125 1320.665283203125 1880.8824462890625],0.26956430077552795,NA13NRU,0.9340845503054629
5,4,[2330.82275390625 1183.3924560546875 2925.796630859375 1767.81103515625],[2537.757568359375 1594.6337890625 2720.892578125 1662.1224365234375],0.3708784878253937,MV51VSU,0.32954748526623123
5,2,[864.7807006835938 1398.417236328125 1549.70703125 2027.1612548828125],[1081.5946044921875 1822.849609375 1311.810546875 1895.3309326171875],0.2066204845905304,NA13NRU,0.7091093859547012
6,4,[2330.3466796875 1187.9949951171875 2927.18603515625 1772.7890625],[2536.839111328125 1603.28515625 2719.28125 1666.4312744140625],0.31340283155441284,MM51YSU,0.2542802217276201
6,2,[857.9683837890625 1405.193603515625 1546.55859375 2039.22802734375],[1066.728759765625 1832.704345703125 1310.8905029296875 1909.3363037109375],0.12660953402519226,N43NRU,0.9386552196593191
7,4,[2333.68994140625 1190.810302734375 2932.442626953125 1780.446533203125],[2538.66650390625 1608.3089599609375 2725.917724609375 1669.6370849609375],0.23943226039409637,HL51VSU,0.35554765584518633
7,2,[855.7368774414062 1410.2952880859375 1546.0941162109375 2044.9071044921875],[1059.7066650390625 1839.0965576171875 1306.0296630859375 1917.150390625],0.22337935864925385,NA13NRU,0.7942689232200151
8,4,[2333.91796875 1193.8917236328125 2935.21044921875 1789.453125],[2540.799560546875 1613.8226318359375 2726.777099609375 1673.4656982421875],0.30268165469169617,ML51VSU,0.6851568056526026
8,2,[849.8818969726562 1418.662109375 1541.1134033203125 2056.599365234375],[1062.3338623046875 1852.4827880859375 1310.7025146484375 1924.9241943359375],0.26954710483551025,NA13NRU,0.7572645761949567
9,4,[2332.770751953125 1197.236328125 2932.483154296875 1797.40771484375],[2544.207275390625 1619.237548828125 2719.927490234375 1682.0953369140625],0.342353880405426,J751TSU,0.34130408666300427
