frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
96,3179,[2181.071044921875 1088.685302734375 2671.703125 1515.7305908203125],[2352.594482421875 1381.450439453125 2515.076171875 1426.3724365234375],0.14986412227153778,AP05JEO,0.39317491201116656
97,3179,[2181.0082194010415 1090.1444091796875 2674.959716796875 1521.59619140625],[2350.9808756510415 1383.9913330078125 2519.538818359375 1432.3626708984375],0,0,0
98,3179,[2180.945393880208 1091.603515625 2678.21630859375 1527.4617919921875],[2349.367268880208 1386.5322265625 2524.00146484375 1438.3529052734375],0,0,0
99,3179,[2180.882568359375 1093.0626220703125 2681.472900390625 1533.327392578125],[2347.753662109375 1389.0731201171875 2528.464111328125 1444.3431396484375],0.1370183378458023,AP05JEO,0.8738435088321801
100,3179,[2180.271728515625 1096.2849799262153 2682.573784722222 1537.4954427083333],[2349.2602267795137 1393.4347466362847 2530.3446451822915 1448.8256157769097],0,0,0
101,3179,[2179.660888671875 1099.507337782118 2683.6746690538193 1541.6634928385415],[2350.766791449653 1397.7963731553818 2532.2251790364585 1453.3080919053818],0,0,0
102,3179,[2179.050048828125 1102.7296956380208 2684.7755533854165 1545.83154296875],[2352.2733561197915 1402.157999674479 2534.105712890625 1457.790568033854],0,0,0
103,3179,[2178.439208984375 1105.9520534939236 2685.8764377170137 1549.9995930989585],[2353.7799207899307 1406.5196261935762 2535.986246744792 1462.2730441623262],0,0,0
104,3179,[2177.828369140625 1109.1744113498264 2686.9773220486113 1554.1676432291665],[2355.2864854600693 1410.8812527126738 2537.866780598958 1466.7555202907988],0,0,0
105,3179,[2177.217529296875 1112.396769205729 2688.078206380208 1558.335693359375],[2356.793050130208 1415.2428792317708 2539.747314453125 1471.2379964192708],0,0,0
106,3179,[2176.606689453125 1115.6191270616318 2689.1790907118057 1562.5037434895835],[2358.299614800347 1419.604505750868 2541.627848307292 1475.720472547743],0,0,0
107,3179,[2175.995849609375 1118.8414849175347 2690.2799750434024 1566.6717936197915],[2359.806179470486 1423.966132269965 2543.508382161458 1480.202948676215],0,0,0
108,3179,[2175.385009765625 1122.0638427734375 2691.380859375 1570.83984375],[2361.312744140625 1428.3277587890625 2545.388916015625 1484.6854248046875],0.15117482841014862,AP05JEO,0.2490675112065553
109,3179,[2177.313232421875 1121.841064453125 2691.139892578125 1574.7166748046875],[2363.74267578125 1428.5130615234375 2542.360595703125 1491.8013916015625],0.1468372493982315,AP05JEO,0.44731579504036606
110,3179,[2176.225341796875 1127.7763671875 2693.183349609375 1580.3360595703125],[2365.08251953125 1422.528564453125 2546.975341796875 1493.5975341796875],0.11217502504587173,AP05JEO,0.6848453316176834
111,3179,[2174.831787109375 1136.54248046875 2698.21630859375 1582.4951171875],[2359.24609375 1429.1253662109375 2547.312255859375 1494.5640869140625],0.21440592408180237,A205JEO,0.2622867659205065
112,3179,[2176.875 1137.915771484375 2702.40185546875 1584.7755126953125],[2341.001953125 1421.9508056640625 2548.75732421875 1496.16748046875],0.10182499885559082,AP05JEO,0.3666484331635532
113,3179,[2180.005859375 1140.607177734375 2703.177490234375 1589.44140625],[2343.72216796875 1432.58984375 2547.089111328125 1494.6676025390625],0.12480013817548752,AP05JEO,0.38259191937268255
114,3179,[2180.0498046875 1143.896240234375 2706.704345703125 1595.134033203125],[2359.728759765625 1437.9901123046875 2557.887451171875 1503.706787109375],0.17032591998577118,JP05JEO,0.4856221051285545
115,3179,[2178.37744140625 1144.1480712890625 2703.02880859375 1599.5316162109375],[2363.145751953125 1445.160888671875 2559.380859375 1504.1827392578125],0.1822594553232193,AP05JEO,0.36611104417760637
116,3179,[2175.4847412109375 1146.375244140625 2706.9058837890625 1604.6851196289062],[2356.4722900390625 1448.8347778320312 2548.3974609375 1511.08984375],0,0,0
117,3179,[2172.592041015625 1148.6024169921875 2710.782958984375 1609.838623046875],[2349.798828125 1452.5086669921875 2537.4140625 1517.9969482421875],0.10292572528123856,AP05JEO,0.6881052983925928
118,3179,[2172.2638346354165 1153.6417643229165 2709.8075358072915 1612.4806315104165],[2352.926350911458 1462.142374674479 2537.4735514322915 1520.9691569010415],0,0,0
119,3179,[2171.935628255208 1158.6811116536458 2708.832112630208 1615.1226399739583],[2356.0538736979165 1471.7760823567708 2537.533040364583 1523.9413655598958],0,0,0
120,3179,[2171.607421875 1163.720458984375 2707.856689453125 1617.7646484375],[2359.181396484375 1481.4097900390625 2537.592529296875 1526.91357421875],0.14439068734645844,AP05JEO,0.35355576855615417
121,3179,[2172.515869140625 1169.474365234375 2708.517333984375 1621.914306640625],[2362.704833984375 1471.3648681640625 2552.74072265625 1539.17236328125],0.4392724335193634,AP05JEQ,0.6198237841999162
122,3179,[2170.02490234375 1169.850341796875 2711.46630859375 1625.6072998046875],[2364.52978515625 1479.900146484375 2554.713623046875 1545.0506591796875],0.40102604031562805,AP05JEQ,0.9371146709622801
123,3179,[2169.846923828125 1173.166259765625 2714.668212890625 1631.629638671875],[2365.359619140625 1487.5291748046875 2557.252197265625 1548.9359130859375],0.5402042865753174,AP05JEQ,0.9133190959898327
124,3179,[2175.373046875 1173.2164306640625 2715.79638671875 1636.73388671875],[2365.10888671875 1475.8509521484375 2561.015625 1551.7977294921875],0.5080131888389587,AP05JEQ,0.9101713162170184
125,3179,[2176.9306640625 1179.264892578125 2716.9931640625 1644.0194091796875],[2369.62255859375 1492.0662841796875 2553.556396484375 1554.8731689453125],0.36323750019073486,AP05JEO,0.8915365075140727
126,3179,[2179.78125 1184.811767578125 2722.322021484375 1652.035400390625],[2354.01708984375 1494.856201171875 2542.889404296875 1546.3636474609375],0.1141500174999237,AP05JEO,0.9520271336372762
127,3179,[2185.921875 1188.3548583984375 2727.554931640625 1658.2618408203125],[2372.020263671875 1498.7237548828125 2554.7568359375 1560.1455078125],0.1045830175280571,AP05JEO,0.8390101795613852
128,3179,[2181.8134765625 1190.6129150390625 2726.41064453125 1663.8070678710938],[2375.4007568359375 1501.6455688476562 2558.3837890625 1565.6380004882812],0,0,0
129,3179,[2177.705078125 1192.8709716796875 2725.266357421875 1669.352294921875],[2378.78125 1504.5673828125 2562.0107421875 1571.1304931640625],0.10936448723077774,AP05JEO,0.5334127963959536
130,3179,[2181.86181640625 1198.8455810546875 2728.68017578125 1673.4495849609375],[2381.03125 1502.71337890625 2568.21923828125 1573.82470703125],0.15544451773166656,AP05JEO,0.7402298894424025
131,3179,[2180.03369140625 1201.6673583984375 2733.5400390625 1678.183837890625],[2376.275146484375 1522.9569091796875 2564.3662109375 1579.5501708984375],0.39374077320098877,AP05JEQ,0.7234606650694707
132,3179,[2183.343505859375 1206.643798828125 2736.878662109375 1683.783935546875],[2368.313232421875 1523.944091796875 2566.237060546875 1585.16064453125],0.3393017053604126,AP05JEO,0.8399765638125644
133,3179,[2185.59375 1207.59765625 2737.164306640625 1687.7332763671875],[2377.11083984375 1531.8216552734375 2564.652099609375 1586.2952880859375],0.39287319779396057,AP05JEO,0.8593840354364752
134,3179,[2177.26611328125 1211.9591064453125 2737.218017578125 1694.2646484375],[2368.005615234375 1529.71142578125 2570.234130859375 1597.62890625],0.34872668981552124,AP05JEO,0.6253840658087038
135,3179,[2176.3154296875 1217.8409423828125 2737.811767578125 1699.959228515625],[2364.799560546875 1521.731689453125 2567.317138671875 1605.3201904296875],0.4202568233013153,AP05JEO,0.6043024386476545
