epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.844,1.40525,10.1912,0.00644,0.55246,0.52679,0.56846,0.36008,1.21324,7.3154,0.00755,0.000662722,0.000662722,0.000662722
2,351.301,1.46401,6.6756,0.00671,0.69348,0.70702,0.77105,0.51047,1.2585,4.6178,0.00878,0.00119778,0.00119778,0.00119778
3,523.715,1.5378,4.80598,0.00711,0.82542,0.76786,0.84976,0.54093,1.22885,3.55891,0.00907,0.00160084,0.00160084,0.00160084
4,695.962,1.48765,3.36089,0.00677,0.78397,0.79464,0.83107,0.51535,1.42631,2.53177,0.011,0.001406,0.001406,0.001406
5,868.497,1.39623,2.52253,0.00634,0.74512,0.89286,0.8923,0.58739,1.23609,1.90492,0.00809,0.001208,0.001208,0.001208
6,1040.77,1.39574,2.0621,0.00612,0.82337,0.83244,0.91249,0.59462,1.21954,1.60523,0.00891,0.00101,0.00101,0.00101
7,1212.82,1.35551,1.66748,0.00568,0.89778,0.88393,0.9436,0.65032,1.13594,1.31168,0.00727,0.000812,0.000812,0.000812
8,1385.66,1.32832,1.47805,0.00552,0.92793,0.80477,0.93239,0.62452,1.22387,1.16188,0.00819,0.000614,0.000614,0.000614
9,1556.99,1.24057,1.33018,0.00527,0.88551,0.89778,0.95693,0.70378,0.9937,1.03015,0.00641,0.000416,0.000416,0.000416
10,1731.27,1.19946,1.24466,0.005,0.91327,0.84617,0.94641,0.68688,1.05182,1.01904,0.00646,0.000218,0.000218,0.000218
