epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.421,1.4315,3.10981,1.13008,0.54806,0.85539,0.56093,0.30759,1.25338,2.31384,1.21663,0.000662722,0.000662722,0.000662722
2,360.539,1.40552,2.12949,1.15653,0.8574,0.85898,0.89504,0.56851,1.2305,1.81019,1.19729,0.00119778,0.00119778,0.00119778
3,529.987,1.37282,1.70629,1.12893,0.82376,0.83036,0.88133,0.56544,1.23317,1.3854,1.18682,0.00160084,0.00160084,0.00160084
4,697.896,1.32428,1.40185,1.11431,0.96983,0.86111,0.94798,0.61929,1.21984,1.22279,1.15155,0.001406,0.001406,0.001406
5,867.407,1.26475,1.23644,1.06229,0.96787,0.88393,0.94121,0.61832,1.17851,0.9488,1.08141,0.001208,0.001208,0.001208
6,1040.39,1.18305,1.07265,1.02953,0.96133,0.88793,0.95758,0.63692,1.13286,0.91926,1.09743,0.00101,0.00101,0.00101
7,1211.24,1.14646,0.93297,1.00527,0.95212,0.91071,0.95381,0.64006,1.1007,0.85335,1.04989,0.000812,0.000812,0.000812
8,1383.22,1.09839,0.86675,0.98622,0.95848,0.91071,0.97099,0.65147,1.06462,0.76978,1.03643,0.000614,0.000614,0.000614
9,1556.81,1.09944,0.82636,0.96266,0.97759,0.94643,0.98326,0.70576,0.96827,0.70177,0.98923,0.000416,0.000416,0.000416
10,1718.77,1.03906,0.77014,0.96521,0.94337,0.94643,0.98032,0.71406,0.92954,0.65883,0.99535,0.000218,0.000218,0.000218
